user_id,federal_tax_bracket_percent,employment_status,liquidity_needs,total_net_worth_range,age,uuid,risk_level
168871,28.0,EMPLOYED,0.0,0.75,49,4267ab19-42d1-4b46-9802-57dffa4b7e93,3
170620,25.0,EMPLOYED,0.5,0.25,37,42681190-8460-44fe-a388-b81993c42df3,2
171914,28.0,EMPLOYED,0.0,1.0,41,1edb5297-ddd9-4b22-bdcf-ca1e65282156,3
172517,28.0,EMPLOYED,0.0,0.5,37,362bec9d-8bc3-4877-a694-04940f9cdde4,2
172742,28.0,EMPLOYED,0.0,0.25,42,1c4b6ff8-14f7-4465-86ae-72793aaf2876,2
173675,25.0,EMPLOYED,0.0,0.0,34,2cf4df37-a165-413e-b653-aeccf4e9dc52,2
174116,28.0,EMPLOYED,0.5,0.25,33,239c30a1-896e-41ad-af61-ca004dbee693,2
174432,28.0,EMPLOYED,0.0,0.5,32,2509096c-1256-4b95-976b-ddb558064d8d,2
174892,28.0,EMPLOYED,0.0,0.0,36,11678109-0aa3-4d7e-ae9b-f9f5dbb5b789,3
175342,28.0,EMPLOYED,0.5,1.0,44,2a0c6a63-f086-49d8-96ab-ca47b52070da,3
175513,15.0,EMPLOYED,0.0,0.0,48,2d7bff94-8b2a-4782-aa94-6e36fac32d14,1
176205,28.0,EMPLOYED,1.0,0.25,36,26c05af1-180e-47af-b2d1-7a71f7370899,2
176506,15.0,STUDENT,1.0,0.25,32,356fa609-b3d0-4880-952f-6ebeb5a01c4c,1
