id,name,description,underlying_security,ticker_symbol,last_price,dividend_rate_percent,expense_ratio_percent,one_day_change_percent,year_to_date_change_percent,created_at,updated_at,risk_level,fund_url,inception,last_refresh,long_description,cusip,start_of_year_price,start_of_year_price_year,learn_post_id,inception_price,tags,investment_type,color_code
63,The Coca-Cola Company,The planet's number one beverage company licenses and markets over 500 non-alcoholic beverages.,The Coca-Cola Company,KO,45.1,3.36,0.0,-0.4,-1.7,2018-03-02 22:33:32.737175,2018-07-23 14:30:41.725319,1,http://www.coca-colacompany.com/investors,01/13/1978,2018-07-23 14:15:36.000000,"Invented in 1886, the Coca-Cola Company's namesake drink has become a part of Americana. Now, the multinational is home to iconic brands like Sprite, Fanta, POWERADE, vitaminwater, smartwater, and Honest Tea. This is a direct investment in Coca-Cola Company stock.",191216100,45.88,2018,,,['The Coca-Cola Company'],STOCK,ed1c16
99,Lockheed Martin,The planet's largest defense contractor by revenue is also the U.S. government's top contractor.,Lockheed Martin Corporation,LMT,320.44,2.42,0.0,-0.66,0.37,2018-05-14 20:02:59.967998,2018-07-23 14:30:41.731715,1,http://phx.corporate-ir.net/phoenix.zhtml?c=83941&p=irol-irhome,03/24/1995,2018-07-23 14:15:21.000000,"Focused on cutting-edge military systems and deep-space exploration, Lockheed Martin is the defense industry's top dog. Its secretive ""Skunk Works"" lab has famously developed the U-2 Bomber, SR-71 Blackbird, F-22 Raptor, and F-35 Lightning. This is a direct investment in Lockheed Martin stock.",539830109,319.26,2018,,15.46,['Lockheed Martin'],STOCK,005daa
86,Chevron,This American oil giant works to drive forward the future of energy around the world. ,Chevron Corporation,CVX,122.46,3.6,0.0,0.16,-1.21,2018-05-08 19:03:12.724101,2018-07-23 14:30:41.738058,1,https://www.chevron.com/annual-report,10/19/2001,2018-07-23 14:15:39.000000,"Every day, billions of people rely on fuel delivered by Chevron. As a worldwide leader in integrated energy and a Fortune Global 500 company, Chevron develops energy solutions that improve lives and help power the world forward. This is a direct investment in Chevron stock.",166764100,123.96,2018,,24.27,[''],STOCK,009dd9
84,JD.com,"China's second largest online retailer is big on product offering, small on delivery time. ","JD.com, Inc",JD,35.59,0.0,0.0,0.23,-14.08,2018-05-08 19:01:48.855745,2018-07-23 14:30:41.744478,1,http://ir.jd.com/phoenix.zhtml?c=253315&p=irol-IRHome,05/21/2014,2018-07-23 14:15:39.000000,"Also known as Jingdong, JD.com is China's second largest online retailer. Its vast product offering ranges from fresh food to electronics, and its nationwide fulfillment network offers same and next-day delivery for 1 billion+ people. This is a direct investment in JD.com stock. ",47215P106,41.42,2018,,20.9,[],STOCK,c91423
78,PepsiCo,This global food and beverage company operates in more than 200 countries and territories.,"PepsiCo, Inc.",PEP,114.7,2.88,0.0,-1.13,-3.65,2018-04-25 21:48:30.887994,2018-07-23 14:30:41.750980,1,http://www.pepsico.com/Investors,01/13/1978,2018-07-23 14:15:38.000000,"PepsiCo traces back to the 1898 creation of Pepsi-Cola by a pharmacist. Today, the company markets beloved brands like Pepsi, Mountain Dew, Gatorade, Tropicana, Doritos, Lipton, Aquafina, Quaker, Lay's, Ruffles, Cheetos, Tostitos, and Fritos. This is a direct investment in PepsiCo stock.",713448108,119.04,2018,,,['PepsiCo'],STOCK,e32934
117,IBM,"For over a century, ""Big Blue"" has been a technology leader helping build smarter businesses.",International Business Machines Corporation,IBM,145.67,4.15,0.0,-0.47,-3.05,2018-06-12 14:53:22.603927,2018-07-23 14:30:41.757645,1,https://www.ibm.com/investor/,01/13/1978,2018-07-23 14:15:39.000000,"IBM traces its deep technological roots back to the 1880s. Since, the company has pioneered many industry-firsts. As of 2018, IBM holds the record for most US patents for 25 consecutive years, and its employees have been awarded five Nobel Prizes. This is a direct investment in IBM stock.",459200101,150.26,2018,,9.42,['IBM'],STOCK,1f70c1
82,Costco,The membership-only warehouse operator is one of the world's largest consumer retailers.,Costco Wholesale Corporation,COST,219.81,0.95,0.0,0.51,18.42,2018-04-25 22:05:28.665405,2018-07-23 14:30:41.764091,1,http://phx.corporate-ir.net/phoenix.zhtml?c=83830&p=irol-irhome,12/05/1985,2018-07-23 14:15:20.000000,"Costco's subscription model allows it to efficiently offer lower prices, making it a one-stop shop for many of its 90 million members. The retailer sells groceries, household items, appliances, health products, apparel, and even gasoline. This is a direct investment in Costco stock.",22160K105,185.62,2018,,,['Costco'],STOCK,007fa9
11,Defending America,Invest in America's military suppliers. These aerospace and defense companies help secure our skies.,iShares U.S. Aerospace & Defense ETF,ITA,201.9,0.93,0.44,-0.49,7.33,2015-09-03 15:47:42.853258,2018-07-23 14:30:41.770562,2,https://www.ishares.com/us/products/239502/ishares-us-aerospace-defense-etf,5/5/2006,2018-07-23 14:15:21.000000,"Boasting the world's strongest military and biggest defense budget, America spends billions to safeguard our skies. These aerospace and defense manufacturers arm our troops with the latest aircrafts and equipment.",464288760,188.11,2018,,45.83,"['defense', 'Boeing', 'lockheed martin', 'northrop grumman', 'airplanes', 'weapons', 'L-3 Communications', 'General Dynamics', 'Textron', 'Raytheon', 'Transdigm', 'Rockwell Collins', 'aerospace', 'united states']",ETF,
13,Blue Chips,Rely on the superstars that already made it big. Buy some of America's most well-known companies.,Vanguard Mega Cap ETF,MGC,96.35,1.83,0.07,-0.06,4.97,2015-09-03 15:47:42.903146,2018-07-23 14:30:41.777071,1,https://personal.vanguard.com/us/funds/snapshot?FundId=3137&FundIntExt=INT,12/27/2007,2018-07-23 14:15:33.000000,"These behemoth blue-chip companies tend to be sturdy and strong when others may falter. Thanks to their size, they're likely to be more stable than the smaller fish in the pond.",921910873,91.79,2018,,41.33,"['oil', 'energy', 'Apple', 'Vanguard', 'Microsoft', 'Exxon', 'Berkshire Hathaway', 'Buffett', 'Facebook', 'AT&T', 'nike', 'Netflix', 'disney', 'sprint', 'tesla', 'johnson & Johnson', 'jp morgan', 'entertainment', 'general electric']",ETF,
70,Big Business Bonds,Invest in 5–10 year loans to the most creditworthy companies in the US of A with these bonds.,Vanguard Intermediate-Term Corporate Bond ETF,VCIT,83.64,3.44,0.07,-0.21,-3.8,2018-03-26 13:55:52.657758,2018-07-23 14:30:41.783644,1,https://personal.vanguard.com/us/funds/snapshot?FundIntExt=INT&FundId=3146&funds_disable_redirect=true,11/19/2009,2018-07-23 14:15:02.000000,Companies use bonds as a way to raise money for business activities. This fund invests specifically in bonds issued by established US companies with strong balance sheets and a history of paying back lenders.,92206C870,86.94,2018,,,['Big Business Bonds'],ETF,
69,Bonds Worldwide,Gain broad exposure to high-quality international government bonds. Investors? Possibly you.,Vanguard Total International Bond ETF,BNDX,54.76,2.21,0.12,-0.24,0.88,2018-03-26 13:53:05.926646,2018-07-23 14:30:41.790323,1,https://personal.vanguard.com/us/funds/snapshot?FundIntExt=INT&FundId=3711&funds_disable_redirect=true,05/31/2013,2018-07-23 14:15:13.000000,Exchange rates between currencies are constantly changing. This fund provides fixed income and currency diversification through international bonds from stable governments around the world.,92203J407,54.28,2018,,,['Bonds Worldwide'],ETF,
